Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	200	0.001	16	1.2814017281925771e-05	20.489519357681274
4	150	0.001	16	1.7228467186214402e-05	20.06425380706787
4	200	0.0001	16	2.2884978534420952e-05	21.185067892074585
4	100	0.001	16	2.3887079805717804e-05	18.020206451416016
2	100	0.001	16	2.404198494332377e-05	14.792443990707397
4	150	0.0001	16	2.5782866941881366e-05	20.018804788589478
3	50	0.001	16	3.370239937794395e-05	15.240334033966064
2	200	0.001	16	3.629842467489652e-05	15.865247964859009
3	100	0.001	16	3.6967303458368406e-05	16.093965768814087
3	150	0.001	16	4.3534109863685444e-05	18.59595274925232
2	50	0.001	16	5.1670805987669155e-05	14.22420334815979
3	200	0.0001	16	7.740541332168505e-05	19.132481813430786
1	200	0.001	16	8.08554032118991e-05	13.61962080001831
3	200	0.001	16	8.482350676786155e-05	18.509193658828735
3	150	0.0001	16	0.0001103555696317926	17.950745582580566
1	100	0.001	16	0.00011257458390900865	13.243258714675903
1	150	0.001	16	0.00012000240531051531	13.463356733322144
2	200	0.0001	16	0.00012749199231620878	15.842142343521118
4	50	0.001	16	0.00012754711497109383	16.345799207687378
3	50	0.0001	16	0.00013049122935626656	15.505840063095093
2	150	0.0001	16	0.0001531390007585287	15.918957233428955
4	100	0.0001	16	0.00017454246699344367	18.078541040420532
1	50	0.001	16	0.0001980814995476976	13.37792158126831
3	100	0.0001	16	0.0002052014897344634	15.982067584991455
4	50	0.0001	16	0.0002748738043010235	16.775317430496216
2	150	0.001	16	0.0003260127268731594	15.72420883178711
1	150	0.0001	16	0.00039946407196111977	13.615894794464111
2	100	0.0001	16	0.00042145841871388257	14.494496583938599
1	100	0.0001	16	0.0006402414874173701	13.355321407318115
1	200	0.0001	16	0.0006405466119758785	14.044295310974121
2	50	0.0001	16	0.0009625040111131966	14.264801740646362
1	50	0.0001	16	0.002342259744182229	13.127118825912476
