Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
4	200	0.0001	8	2.048315764113795e-05	2.048315764113795e-05	421.0053427219391
3	200	0.001	8	4.500833529164083e-05	4.500833529164083e-05	352.22758197784424
4	200	0.0001	8	5.118546323501505e-05	5.118546323501505e-05	357.30993700027466
4	200	0.001	8	6.720051169395447e-05	6.720051169395447e-05	432.1421720981598
1	150	0.001	8	7.665200246265158e-05	7.665200246265158e-05	345.44209241867065
2	100	0.001	8	7.702817674726248e-05	7.702817674726248e-05	225.6698136329651
1	200	0.001	8	7.709213969064876e-05	7.709213969064876e-05	264.31392335891724
1	200	0.001	8	8.307085954584181e-05	8.307085954584181e-05	265.5012710094452
4	200	0.0001	8	8.650901145301759e-05	8.650901145301759e-05	548.5261371135712
1	200	0.001	8	0.00010071160068036988	0.00010071160068036988	239.43681454658508
1	150	0.001	8	0.00010924926755251363	0.00010924926755251363	373.2365963459015
4	200	0.0001	8	0.00010959996870951727	0.00010959996870951727	402.86985063552856
4	200	0.0001	8	0.00010966930130962282	0.00010966930130962282	503.1159131526947
1	200	0.001	8	0.00011128801997983828	0.00011128801997983828	198.00550770759583
4	200	0.0001	8	0.00012297752255108207	0.00012297752255108207	429.7158751487732
4	200	0.0001	8	0.00013438113091979176	0.00013438113091979176	400.1475052833557
3	200	0.001	8	0.00013794506958220154	0.00013794506958220154	295.5468463897705
4	150	0.0001	8	0.00014037781511433423	0.00014037781511433423	488.4806354045868
1	200	0.001	8	0.00014524205471388996	0.00014524205471388996	234.26206254959106
1	200	0.001	8	0.00014935247600078583	0.00014935247600078583	211.79827761650085
4	200	0.0001	8	0.00015014986274763942	0.00015014986274763942	380.57908844947815
4	200	0.0001	8	0.00016370169760193676	0.00016370169760193676	307.77814531326294
1	150	0.001	8	0.00018423116125632077	0.00018423116125632077	362.71887588500977
4	150	0.001	8	0.00019671775226015598	0.00019671775226015598	339.8728325366974
4	200	0.0001	8	0.00020873492758255452	0.00020873492758255452	301.0720238685608
4	200	0.0001	8	0.00021576977451331913	0.00021576977451331913	415.29477429389954
2	150	0.001	16	0.00022759957937523723	0.00022759957937523723	183.7866199016571
4	150	0.0001	8	0.0002327527035959065	0.0002327527035959065	311.3161165714264
4	200	0.0001	8	0.00023903725377749652	0.00023903725377749652	316.5923881530762
4	200	0.0001	8	0.0002543748414609581	0.0002543748414609581	283.3383936882019
1	150	0.001	8	0.0002578137209638953	0.0002578137209638953	329.13267397880554
4	200	0.001	8	0.00028051252593286335	0.00028051252593286335	636.3172669410706
4	200	0.0001	8	0.00031223573023453355	0.00031223573023453355	548.0050094127655
3	200	0.0001	8	0.0003162638167850673	0.0003162638167850673	562.8243148326874
4	200	0.0001	8	0.0003288832667749375	0.0003288832667749375	253.67270183563232
4	150	0.0001	8	0.0003356505767442286	0.0003356505767442286	502.6486463546753
4	200	0.0001	8	0.00035211964859627187	0.00035211964859627187	434.5663604736328
4	200	0.0001	8	0.00035317885340191424	0.00035317885340191424	308.87836813926697
1	200	0.001	16	0.00036720657953992486	0.00036720657953992486	150.08261275291443
4	150	0.0001	8	0.00041177848470397294	0.00041177848470397294	412.3790991306305
4	200	0.0001	8	0.0005055691581219435	0.0005055691581219435	258.8237862586975
4	200	0.0001	16	0.0005181254236958921	0.0005181254236958921	191.67203783988953
4	200	0.0001	16	0.0007200794061645865	0.0007200794061645865	292.93656277656555
4	200	0.0001	16	0.000913523486815393	0.000913523486815393	283.4972825050354
1	150	0.0001	8	0.0016072392463684082	0.0016072392463684082	391.68286418914795
4	50	0.0001	16	0.0016413835110142827	0.0016413835110142827	220.06569814682007
1	150	0.0001	8	0.0017260764725506306	0.0017260764725506306	265.4410321712494
2	200	0.0001	8	0.0019051466370001435	0.0019051466370001435	247.92839431762695
2	100	0.0001	16	0.00381134613417089	0.00381134613417089	205.65184712409973
4	200	0.001	8	0.003946700133383274	0.003946700133383274	254.9750258922577
1	150	0.0001	8	0.004140254110097885	0.004140254110097885	372.1291916370392
