Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
3	150	0.001	8	4.296315182727994e-06	4.296315182727994e-06	33.31508016586304
3	150	0.001	8	6.047000169928651e-06	6.047000169928651e-06	32.92794704437256
3	150	0.001	8	8.041810360737145e-06	8.041810360737145e-06	32.74496078491211
3	150	0.001	8	8.333730875165202e-06	8.333730875165202e-06	32.932321071624756
3	150	0.001	8	9.638523806643207e-06	9.638523806643207e-06	32.419007778167725
2	150	0.001	8	1.2307271390454844e-05	1.2307271390454844e-05	28.307267427444458
4	200	0.0001	8	1.378077740810113e-05	1.378077740810113e-05	37.718047857284546
4	150	0.0001	8	1.4343212569656316e-05	1.4343212569656316e-05	35.9617645740509
3	150	0.001	8	1.549482112750411e-05	1.549482112750411e-05	32.49232459068298
4	150	0.001	8	1.7201897207996808e-05	1.7201897207996808e-05	36.604591369628906
4	200	0.0001	8	2.105617204506416e-05	2.105617204506416e-05	36.58249878883362
3	150	0.0001	8	2.360737016715575e-05	2.360737016715575e-05	33.20465803146362
4	150	0.001	8	2.4862869395292364e-05	2.4862869395292364e-05	36.30978846549988
3	150	0.001	16	2.9037633794359863e-05	2.9037633794359863e-05	17.8332736492157
4	150	0.0001	8	2.9289985832292587e-05	2.9289985832292587e-05	36.087045192718506
4	150	0.0001	8	2.9792916393489577e-05	2.9792916393489577e-05	35.95875549316406
4	150	0.0001	8	3.0420129405683838e-05	3.0420129405683838e-05	36.90320658683777
4	100	0.0001	8	3.4282245906069875e-05	3.4282245906069875e-05	32.79270792007446
3	100	0.0001	8	3.595603629946709e-05	3.595603629946709e-05	28.86414933204651
4	150	0.0001	16	3.710769669851288e-05	3.710769669851288e-05	20.124708890914917
4	50	0.001	8	3.710935925482772e-05	3.710935925482772e-05	28.791277408599854
4	200	0.0001	8	3.920743620255962e-05	3.920743620255962e-05	36.5911648273468
3	150	0.0001	8	4.291993900551461e-05	4.291993900551461e-05	32.25036883354187
4	150	0.0001	8	4.4055697799194604e-05	4.4055697799194604e-05	35.60301852226257
4	150	0.001	8	4.5175027480581775e-05	4.5175027480581775e-05	36.17880439758301
4	150	0.0001	8	4.674797673942521e-05	4.674797673942521e-05	36.141430139541626
4	200	0.0001	8	5.3535084589384496e-05	5.3535084589384496e-05	37.80149292945862
4	150	0.001	8	5.3812884289072827e-05	5.3812884289072827e-05	35.85919117927551
4	150	0.0001	16	6.142081110738218e-05	6.142081110738218e-05	19.602853536605835
2	150	0.0001	8	6.427164771594107e-05	6.427164771594107e-05	29.53914761543274
2	150	0.0001	8	6.708667206112295e-05	6.708667206112295e-05	28.281887531280518
3	150	0.0001	8	6.793601642129943e-05	6.793601642129943e-05	32.89580416679382
2	150	0.0001	8	6.969577225390822e-05	6.969577225390822e-05	29.488461017608643
3	150	0.0001	8	7.221232954179868e-05	7.221232954179868e-05	32.74359631538391
2	200	0.001	8	7.312747038668022e-05	7.312747038668022e-05	29.13732099533081
2	150	0.0001	8	8.568883640691638e-05	8.568883640691638e-05	28.58519220352173
1	200	0.001	16	9.26609500311315e-05	9.26609500311315e-05	13.5272958278656
1	150	0.001	8	9.675671753939241e-05	9.675671753939241e-05	25.014934539794922
3	150	0.001	8	0.00010487859981367365	0.00010487859981367365	32.867814779281616
3	200	0.0001	16	0.00010513128654565662	0.00010513128654565662	18.45808219909668
2	200	0.0001	8	0.0001126686911447905	0.0001126686911447905	29.859779119491577
2	50	0.001	16	0.00011756998719647527	0.00011756998719647527	14.38348913192749
4	150	0.0001	8	0.00012070785305695608	0.00012070785305695608	36.41006565093994
3	200	0.0001	16	0.00013407996448222548	0.00013407996448222548	18.299764394760132
2	150	0.001	16	0.00013657622912432998	0.00013657622912432998	15.623941898345947
4	150	0.001	8	0.00013742534792982042	0.00013742534792982042	35.69775128364563
4	200	0.0001	16	0.00013751686492469162	0.00013751686492469162	20.55297565460205
4	100	0.0001	16	0.00018589245155453682	0.00018589245155453682	17.085031270980835
1	50	0.001	16	0.0001881616044556722	0.0001881616044556722	12.838278770446777
4	200	0.001	8	0.00019001844339072704	0.00019001844339072704	37.315638065338135
3	150	0.001	8	0.00031882760231383145	0.00031882760231383145	33.33333134651184
2	100	0.0001	16	0.0003354254877194762	0.0003354254877194762	14.59262728691101
3	150	0.001	8	0.0003396844258531928	0.0003396844258531928	33.391640424728394
4	150	0.001	8	0.0005857989308424294	0.0005857989308424294	36.15996718406677
1	150	0.0001	16	0.0019422199111431837	0.0019422199111431837	13.247276544570923
