Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
4	100	0.0001	4	0.030271008610725403	0.030271008610725403	96.6287841796875
4	100	0.0001	4	0.030927926301956177	0.030927926301956177	85.06098318099976
4	100	0.0001	4	0.0311958659440279	0.0311958659440279	93.1959478855133
4	200	0.0001	4	0.031804997473955154	0.031804997473955154	106.3297233581543
4	100	0.0001	4	0.03183432295918465	0.03183432295918465	91.440269947052
4	150	0.0001	4	0.03185492753982544	0.03185492753982544	115.467294216156
3	100	0.0001	4	0.03274567425251007	0.03274567425251007	81.6473400592804
4	100	0.0001	4	0.033436570316553116	0.033436570316553116	115.13422846794128
4	100	0.0001	4	0.033477433025836945	0.033477433025836945	99.46378064155579
4	100	0.0001	4	0.033642079681158066	0.033642079681158066	86.6879620552063
4	100	0.0001	4	0.03446583449840546	0.03446583449840546	101.00955963134766
4	100	0.0001	4	0.0345277339220047	0.0345277339220047	87.7073540687561
2	100	0.0001	4	0.034958988428115845	0.034958988428115845	67.47471809387207
2	100	0.0001	4	0.035040032118558884	0.035040032118558884	71.19388937950134
2	100	0.0001	4	0.035576172173023224	0.035576172173023224	68.45074605941772
3	50	0.0001	4	0.035651400685310364	0.035651400685310364	84.48363995552063
4	100	0.0001	4	0.03584475442767143	0.03584475442767143	103.79236078262329
2	50	0.0001	4	0.035907190293073654	0.035907190293073654	72.57767581939697
2	100	0.0001	4	0.03644319996237755	0.03644319996237755	87.55647373199463
2	100	0.0001	4	0.03658952936530113	0.03658952936530113	77.36590814590454
4	100	0.0001	16	0.03796852007508278	0.03796852007508278	33.19493126869202
2	50	0.0001	4	0.038370538502931595	0.038370538502931595	65.54067707061768
2	100	0.0001	4	0.03876449540257454	0.03876449540257454	91.38022041320801
1	200	0.005	4	0.03963995724916458	0.03963995724916458	53.05216956138611
2	100	0.0001	4	0.03981959447264671	0.03981959447264671	96.61584806442261
4	100	0.0001	16	0.03990975394845009	0.03990975394845009	21.636767148971558
2	50	0.0001	4	0.040374528616666794	0.040374528616666794	69.23440384864807
4	200	0.005	8	0.041904110461473465	0.041904110461473465	53.38654804229736
3	100	0.005	4	0.044494472444057465	0.044494472444057465	70.65735483169556
1	100	0.005	4	0.04962281510233879	0.04962281510233879	68.99512028694153
2	200	0.0001	16	0.05051962658762932	0.05051962658762932	19.645350456237793
3	100	0.005	4	0.05595771223306656	0.05595771223306656	87.63361668586731
4	200	0.005	16	0.05750845745205879	0.05750845745205879	29.325452089309692
1	200	0.0001	4	0.059346314519643784	0.059346314519643784	65.79305815696716
1	200	0.0001	4	0.05934857577085495	0.05934857577085495	72.57060694694519
1	200	0.0001	4	0.05996232479810715	0.05996232479810715	70.86935639381409
4	150	0.005	16	0.06784854084253311	0.06784854084253311	29.628061532974243
3	100	0.005	2	0.10129734873771667	0.10129734873771667	105.21967220306396
1	100	0.0001	4	0.26267099380493164	0.26267099380493164	60.54411482810974
1	200	0.0001	16	0.4889577329158783	0.4889577329158783	19.797006368637085
1	100	0.0001	16	0.5235332250595093	0.5235332250595093	26.067688941955566
1	200	0.0001	16	0.6390981078147888	0.6390981078147888	21.625296354293823
1	100	0.0001	16	1.4139583110809326	1.4139583110809326	27.703692197799683
