Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
4	100	0.001	16	0.01249003503471613	0.01249003503471613	67.08178448677063
3	200	0.001	16	0.016719035804271698	0.016719035804271698	70.32404255867004
4	200	0.001	16	0.017488323152065277	0.017488323152065277	98.5668592453003
3	200	0.001	16	0.019023697823286057	0.019023697823286057	70.83457803726196
3	100	0.001	8	0.019229436293244362	0.019229436293244362	121.17271256446838
4	100	0.001	16	0.019356844946742058	0.019356844946742058	66.58594059944153
3	200	0.001	16	0.020285481587052345	0.020285481587052345	71.4871301651001
4	200	0.001	16	0.022464144974946976	0.022464144974946976	77.57017779350281
3	100	0.001	16	0.022755373269319534	0.022755373269319534	63.83691954612732
3	200	0.001	16	0.0247796643525362	0.0247796643525362	71.6182234287262
4	200	0.001	16	0.0247858464717865	0.0247858464717865	78.80444359779358
4	200	0.001	16	0.025048648938536644	0.025048648938536644	77.5834002494812
3	100	0.001	16	0.025756599381566048	0.025756599381566048	64.66580390930176
4	200	0.0001	16	0.02655155397951603	0.02655155397951603	88.48322319984436
3	100	0.001	8	0.029621794819831848	0.029621794819831848	123.30752778053284
4	200	0.001	16	0.03003435954451561	0.03003435954451561	78.12419509887695
4	100	0.001	64	0.030389804393053055	0.030389804393053055	21.410725831985474
4	200	0.001	16	0.03470734506845474	0.03470734506845474	104.59544515609741
4	200	0.0001	64	0.035126883536577225	0.035126883536577225	31.39256978034973
3	100	0.0001	16	0.036365754902362823	0.036365754902362823	63.24552130699158
4	100	0.0001	16	0.03743220493197441	0.03743220493197441	67.65725088119507
3	100	0.001	64	0.037555478513240814	0.037555478513240814	26.22867774963379
3	100	0.0001	16	0.03784257546067238	0.03784257546067238	64.52086281776428
4	200	0.0001	32	0.04386500269174576	0.04386500269174576	52.992491245269775
3	200	0.0001	16	0.05298037827014923	0.05298037827014923	70.53940200805664
