Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
2	150	0.001	16	3.6266501410864294e-05	158.20571565628052
3	200	0.001	16	3.902720709447749e-05	118.34995412826538
4	50	0.001	16	5.674764179275371e-05	143.34595394134521
2	100	0.001	16	5.741481436416507e-05	148.40593218803406
3	100	0.001	16	5.929764665779658e-05	154.22626376152039
4	200	0.001	16	6.831753125879914e-05	147.12055802345276
4	100	0.001	16	6.836149987066165e-05	164.45650553703308
4	150	0.001	16	7.181494584074244e-05	190.81421422958374
2	50	0.001	16	9.553778363624588e-05	137.1475808620453
1	200	0.001	16	0.0001023991935653612	133.44994854927063
2	200	0.001	16	0.00018197244207840413	162.14437985420227
1	150	0.001	16	0.00020688833319582045	129.8748743534088
3	50	0.001	16	0.00026276404969394207	144.682124376297
4	200	0.0001	16	0.001325038610957563	179.74763536453247
4	100	0.0001	16	0.0017027222784236073	157.88914680480957
3	200	0.0001	16	0.001965007046237588	159.0564410686493
4	50	0.0001	16	0.0020662571769207716	141.78075098991394
2	100	0.0001	16	0.0022186175920069218	153.64702558517456
3	150	0.001	16	0.0023640317376703024	171.09704089164734
1	50	0.001	16	0.0023873005993664265	134.5154173374176
4	150	0.0001	16	0.0027028110343962908	126.97223234176636
3	100	0.0001	16	0.0027133652474731207	153.2190899848938
2	200	0.0001	16	0.002963722450658679	157.65183901786804
3	150	0.0001	16	0.003081440692767501	143.86093044281006
1	150	0.0001	16	0.0034160150680691004	129.85631728172302
1	100	0.001	16	0.003493414493277669	136.13734102249146
3	50	0.0001	16	0.004356225486844778	141.6171510219574
2	150	0.0001	16	0.005212865304201841	153.78174901008606
1	200	0.0001	16	0.005341167561709881	142.5410132408142
1	100	0.0001	16	0.005618899594992399	131.9006838798523
2	50	0.0001	16	0.010001116432249546	134.80538296699524
1	50	0.0001	16	0.020129911601543427	132.40395164489746
