Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
2	200	0.0001	2	3.769519753404893e-05	3.769519753404893e-05	791.5917112827301
2	150	0.0001	2	9.608332038624212e-05	9.608331311028451e-05	781.3408026695251
2	100	0.0001	2	0.0001234814990311861	0.0001234814990311861	693.4843525886536
2	150	0.0001	2	0.00012531268293969333	0.00012531268293969333	794.9902353286743
2	100	0.0001	2	0.00013119479990564287	0.00013119478535372764	1007.2131369113922
2	200	0.0001	2	0.00016275688540190458	0.00016275688540190458	873.7807822227478
2	100	0.0001	2	0.00020233607210684568	0.00020233607210684568	699.3292999267578
2	200	0.0001	2	0.0003426643961574882	0.0003426643961574882	982.5455837249756
2	150	0.0001	4	0.000384624203434214	0.000384624203434214	335.88372826576233
2	200	0.0001	2	0.00043239022488705814	0.00043239022488705814	999.5739533901215
2	200	0.0001	2	0.0004447158717084676	0.0004447158135008067	890.8071622848511
2	200	0.0001	4	0.0004961842787452042	0.0004961842787452042	372.72722721099854
2	100	0.0001	2	0.0005643624463118613	0.0005643624463118613	947.0590088367462
2	200	0.0001	4	0.0006465929909609258	0.0006465929909609258	504.43031311035156
1	150	0.0001	2	0.0007552430033683777	0.0007552430033683777	655.5487790107727
2	100	0.0001	2	0.0008405984262935817	0.0008405984262935817	778.7070550918579
2	150	0.0001	4	0.0009428852354176342	0.0009428852354176342	474.74205923080444
2	50	0.0001	2	0.0011775039602071047	0.0011775039602071047	741.9887266159058
2	150	0.0001	4	0.001416564336977899	0.001416564336977899	409.62336134910583
4	150	1e-05	2	0.0017012571915984154	0.0017012571915984154	981.4305565357208
1	200	0.0001	2	0.0017653444083407521	0.0017653444083407521	741.7105841636658
4	200	1e-05	2	0.0019483662908896804	0.0019483662908896804	994.6913430690765
2	50	0.0001	4	0.0020771208219230175	0.0020771208219230175	311.24376249313354
4	200	1e-05	4	0.0021573922131210566	0.0021573922131210566	495.78451585769653
1	150	0.0001	2	0.0022257950622588396	0.0022257950622588396	817.6946592330933
2	50	0.0001	2	0.002227158285677433	0.002227158285677433	737.2752358913422
2	100	0.0001	4	0.0024237309116870165	0.0024237309116870165	352.0649402141571
2	150	0.0001	4	0.0025606744457036257	0.0025606744457036257	250.25363111495972
3	200	1e-05	2	0.0026498064398765564	0.0026498064398765564	927.8788437843323
4	100	1e-05	4	0.003418481210246682	0.003418481210246682	507.16767287254333
4	200	1e-05	4	0.0038579513784497976	0.0038579513784497976	493.9072685241699
2	100	1e-05	4	0.004414060153067112	0.004414060153067112	344.8828880786896
1	150	1e-05	2	0.004583077505230904	0.004583077505230904	683.2603816986084
4	50	1e-05	4	0.004932113457471132	0.004932113457471132	400.9595482349396
