Deep size	Num units	Learning rate	Batch size	Accuracy	Tiempo de ejecución
3	100	0.001	128	0.8881999850273132	48.22286939620972
4	100	0.001	128	0.8877999782562256	54.622474908828735
4	200	0.001	128	0.8865000009536743	70.19983696937561
3	200	0.001	128	0.8863999843597412	64.50584888458252
4	200	0.001	256	0.8863000273704529	46.50965857505798
4	100	0.01	128	0.8848000168800354	54.82783079147339
4	100	0.01	256	0.8830999732017517	34.50872492790222
3	200	0.001	256	0.8830000162124634	41.93746900558472
4	100	0.001	256	0.8823000192642212	35.18902826309204
3	100	0.01	128	0.8772000074386597	48.04510498046875
3	100	0.001	256	0.8748999834060669	30.015848875045776
4	200	0.0001	128	0.8748000264167786	69.87997245788574
3	100	0.01	256	0.8733999729156494	30.288976192474365
3	200	0.0001	128	0.871399998664856	65.62309217453003
3	200	0.01	128	0.8700000047683716	63.81507349014282
4	200	0.01	256	0.8698999881744385	62.115299463272095
4	100	0.0001	128	0.8694000244140625	54.330161809921265
4	200	0.01	128	0.8687000274658203	82.09161949157715
4	200	0.0001	256	0.8671000003814697	45.13688540458679
3	100	0.0001	128	0.8668000102043152	47.545562982559204
3	200	0.0001	256	0.8666999936103821	42.87505578994751
3	200	0.01	256	0.8604999780654907	41.710275173187256
4	100	0.0001	256	0.8547999858856201	34.532944679260254
3	100	0.0001	256	0.8540999889373779	29.383008241653442
4	200	1e-05	128	0.8131999969482422	72.29581236839294
4	100	1e-05	128	0.8116999864578247	54.82812690734863
3	200	1e-05	128	0.8113999962806702	66.26361346244812
4	200	1e-05	256	0.8091999888420105	44.93865132331848
3	100	1e-05	128	0.8001000285148621	48.041342973709106
3	200	1e-05	256	0.7985000014305115	43.20211720466614
4	100	1e-05	256	0.79830002784729	34.497379302978516
3	100	1e-05	256	0.7870000004768372	29.612002849578857
