Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
4	50	0.0001	2	0.030000096186995506	0.030000096186995506	83.80606365203857
4	50	0.0001	2	0.030606459826231003	0.030606459826231003	113.5044310092926
4	50	0.0001	2	0.03099486604332924	0.03099486604332924	96.4370288848877
3	50	0.0001	2	0.031365249305963516	0.031365249305963516	76.72204113006592
4	50	0.0001	2	0.032176870852708817	0.032176870852708817	107.24654817581177
4	50	0.0001	2	0.03278669714927673	0.03278669714927673	81.75107598304749
4	50	0.0001	2	0.03308292478322983	0.03308292478322983	144.05368161201477
4	200	0.005	4	0.03341739997267723	0.03341739997267723	70.31583905220032
4	50	0.0001	2	0.03365880623459816	0.03365880623459816	76.52245545387268
4	50	0.0001	2	0.0337085947394371	0.0337085947394371	110.20851683616638
4	150	0.0001	8	0.03397723287343979	0.03397723287343979	38.3479950428009
4	50	0.0001	2	0.034323763102293015	0.034323763102293015	81.51922535896301
4	100	0.0001	2	0.035102635622024536	0.035102635622024536	143.45737099647522
2	100	0.005	4	0.03524906188249588	0.03524906188249588	57.92305612564087
4	200	0.0001	4	0.03569646552205086	0.03569646552205086	80.05341076850891
2	100	0.0001	4	0.03602758049964905	0.03602758049964905	83.04067540168762
2	100	0.0001	4	0.03624630719423294	0.03624630719423294	83.26655197143555
2	100	0.0001	4	0.037175502628088	0.037175502628088	59.943944454193115
2	100	0.0001	4	0.037237249314785004	0.037237249314785004	63.52978229522705
2	100	0.0001	4	0.03738768398761749	0.03738768398761749	51.82566857337952
1	100	0.005	4	0.03760907053947449	0.03760907053947449	52.78143906593323
4	200	0.0001	2	0.03824247419834137	0.03824247419834137	155.43563532829285
2	100	0.005	4	0.038428157567977905	0.038428157567977905	62.00798487663269
1	50	0.005	16	0.03848819434642792	0.038488198071718216	19.180612564086914
2	50	0.0001	2	0.03906513378024101	0.03906513378024101	74.31422209739685
4	200	0.005	4	0.03925270214676857	0.03925270214676857	144.03261804580688
3	100	0.0001	8	0.040644172579050064	0.040644172579050064	36.32368993759155
2	150	0.005	4	0.04325566440820694	0.04325566440820694	61.921292304992676
4	200	0.005	4	0.04493342339992523	0.04493342339992523	144.22368597984314
4	200	0.005	16	0.0481746643781662	0.0481746643781662	29.118877410888672
4	50	0.0001	16	0.048412054777145386	0.048412054777145386	17.870761156082153
2	200	0.0001	16	0.051004670560359955	0.051004670560359955	21.04752826690674
1	100	0.0001	2	0.05324447154998779	0.05324447154998779	94.4152672290802
2	200	0.005	16	0.05618254467844963	0.05618254467844963	20.967183113098145
1	150	0.0001	4	0.05938449501991272	0.05938449501991272	52.4476113319397
1	150	0.0001	4	0.061448585242033005	0.061448585242033005	52.08817005157471
1	150	0.0001	4	0.06442948430776596	0.06442948430776596	46.08738589286804
4	200	0.005	4	0.06505677849054337	0.06505677849054337	85.3523006439209
1	100	0.0001	4	0.07616312801837921	0.07616312801837921	45.927321434020996
4	50	0.005	2	0.11042994260787964	0.11042994260787964	119.7639787197113
3	100	0.005	2	0.11046690493822098	0.11046690493822098	104.52456879615784
3	100	0.005	2	0.1306566298007965	0.1306566298007965	143.03256940841675
