Deep size	Num units	Learning rate	Batch size	MSE	Tiempo de ejecución
4	150	0.0001	16	0.03253771737217903	15.633504867553711
4	100	0.001	16	0.03340142220258713	14.066661596298218
2	50	0.001	16	0.033669352531433105	23.042749881744385
4	200	0.0001	16	0.03482115641236305	18.078668355941772
1	200	0.001	16	0.03606678918004036	21.493022203445435
4	50	0.001	16	0.0362592414021492	13.890555620193481
3	150	0.0001	16	0.03806966170668602	14.407192945480347
3	200	0.0001	16	0.03873399272561073	15.622891902923584
4	100	0.0001	16	0.039010871201753616	13.899126052856445
3	100	0.001	16	0.039047300815582275	13.206993341445923
1	100	0.001	16	0.03932066634297371	18.32096529006958
3	100	0.0001	16	0.04068268463015556	13.261669397354126
3	200	0.001	16	0.04124600067734718	14.403990507125854
1	150	0.001	16	0.041815854609012604	19.11286425590515
2	150	0.001	16	0.04483122378587723	17.940388202667236
1	50	0.001	16	0.0449170358479023	20.161534786224365
4	50	0.0001	16	0.04536883160471916	13.06070327758789
2	200	0.0001	16	0.04542374610900879	13.44869875907898
3	150	0.001	16	0.04758445546030998	14.322024583816528
3	50	0.001	16	0.0512508898973465	12.674034595489502
2	100	0.001	16	0.05471832677721977	16.22747492790222
2	150	0.0001	16	0.054808203130960464	16.69494366645813
2	200	0.001	16	0.05504697561264038	13.601906299591064
4	150	0.001	16	0.05664164200425148	15.724212169647217
3	50	0.0001	16	0.059079498052597046	12.715001344680786
4	200	0.001	16	0.06924372911453247	13.430502653121948
2	100	0.0001	16	0.09372380375862122	22.064104318618774
2	50	0.0001	16	0.12375010550022125	24.203935146331787
1	150	0.0001	16	0.2416778802871704	21.514397382736206
1	200	0.0001	16	0.38609910011291504	24.89420175552368
1	100	0.0001	16	0.6640001535415649	17.67266035079956
1	50	0.0001	16	0.944054901599884	17.556798696517944
